web_scraper_order,web_scraper_start_url,containers_links,number_of_rooms,number_of_bathrooms,surface area,address
"1765221666-1246","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-sacre-coeur-4784531","4","3","","Sacré-Coeur, Dakar, Sénégal"
"1765221669-1247","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4784542","4","3","","Mamelles, Dakar, Sénégal"
"1765221672-1248","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4784559","4","2","","Mamelles, Dakar, Sénégal"
"1765221674-1249","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-almadies-4784549","3","2","","Almadies, Dakar, Sénégal"
"1765221677-1250","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-ngor-4784567","4","3","","Ngor, Dakar, Sénégal"
"1765221679-1251","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-sacre-cur-3-4782952","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221682-1252","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mariste-4784669","3","2","","Mariste, Dakar, Sénégal"
"1765221684-1253","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-4784688","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221765-1254","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-almadies-4784700","3","2","","Ngor, Dakar, Sénégal"
"1765221773-1255","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-la-cite-keur-gorgui-4784843","3","3","","Dakar, Sénégal"
"1765221776-1256","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-duplex-5-pieces-almadies-4784845","5","5","","Almadies, Dakar, Sénégal"
"1765221778-1257","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-haut-standing-a-la-cite-keur-gorgui-4784853","3","3","","Dakar, Sénégal"
"1765221781-1258","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4784854","4","4","","Almadies, Dakar, Sénégal"
"1765221783-1259","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4784865","4","4","","Almadies, Dakar, Sénégal"
"1765221786-1260","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartement-a-la-cite-keur-gorgui-4784863","5","3","","Dakar, Sénégal"
"1765221788-1261","https://sn.coinafrique.com/categorie/appartements?page=55","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-sacre-cur-3-4788141","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221794-1262","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-f4-sicap-karak-4834407","4","3","200 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221796-1263","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-biagui-4792503","4","3","137","Yoff, Dakar, Sénégal"
"1765221799-1264","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-medina-blaise-diagne-4790965","3","3","","Medina, Dakar, Sénégal"
"1765221801-1265","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-studio-medina-blaise-diagne-4790978","2","2","","Medina, Dakar, Sénégal"
"1765221804-1266","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-fann-4795260","4","4","12","Fann, Dakar, Sénégal"
"1765221806-1267","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartements-02-pieces-ouest-foire-4794125","2","2","75","Ouest Foire, Dakar, Sénégal"
"1765221809-1268","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-aux-almadies-4795740","3","3","130 m2","Almadies, Dakar, Sénégal"
"1765221811-1269","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartements-04-pieces-ouakam-4796536","4","4","150","Ouakam, Dakar, Sénégal"
"1765221814-1270","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-4801194","4","4","12","Sicap Liberté, Dakar, Sénégal"
"1765221816-1271","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-batrain-mermoz-4802727","4","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221818-1272","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4799826","5","5","300","Almadies, Dakar, Sénégal"
"1765221821-1273","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-dakar-plateau-4803250","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765221823-1274","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-cite-biagui-4804147","5","3","138","Yoff, Dakar, Sénégal"
"1765221826-1275","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/vente-appartement-2-pieces-damel-4849658","2","1","150","Damel, Dakar, Sénégal"
"1765221828-1276","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/vente-residence-kalia-zone-de-captage-4804561","4","120","","Dieuppeul-Derklé, Dakar, Sénégal"
"1765221831-1277","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-almadies-4804621","3","3","120 m2","Almadies, Dakar, Sénégal"
"1765221833-1278","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-4807686","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765221835-1279","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4807847","3","3","","Mamelles, Dakar, Sénégal"
"1765221838-1280","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4807897","4","3","2","Mamelles, Dakar, Sénégal"
"1765221840-1281","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4807948","4","3","","Almadies, Dakar, Sénégal"
"1765221843-1282","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-4807960","4","","","Ngor, Dakar, Sénégal"
"1765221845-1283","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-4808151","4","4","12","Sicap Liberté, Dakar, Sénégal"
"1765221847-1284","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-keur-massar-4806673","3","2","","Dakar, Sénégal"
"1765221851-1285","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-studio-keur-massar-4806687","2","1","","Dakar, Sénégal"
"1765221853-1286","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-biagui-4811228","4","3","138","Yoff, Dakar, Sénégal"
"1765221856-1287","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartements-03-pieces-mermoz-sacre-coeur-4807414","3","3","101","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221858-1288","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-medina-poste-medina-4808722","3","2","","Medina, Dakar, Sénégal"
"1765221860-1289","https://sn.coinafrique.com/categorie/appartements?page=54","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-dakar-plateau-4809042","3","2","","Dakar Plateau, Dakar, Sénégal"
"1765221866-1290","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-sacre-cur-3-4809059","4","4","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221869-1291","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-sacre-coeur-4813494","4","4","12","Sacré-Coeur, Dakar, Sénégal"
"1765221871-1292","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-4815073","4","4","12","Point E, Dakar, Sénégal"
"1765221873-1293","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-4812129","4","2","160","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221876-1294","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-4816666","2","1","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221878-1295","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4816675","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221881-1296","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-fann-4813570","2","1","65","Fann, Dakar, Sénégal"
"1765221883-1297","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-au-mamelle-4815726","3","2","98 m2","Mamelles, Dakar, Sénégal"
"1765221886-1298","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-02-pieces-fann-4814575","2","1","70","Fann, Dakar, Sénégal"
"1765221888-1299","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4819172","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221891-1300","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4821713","4","3","","Mamelles, Dakar, Sénégal"
"1765221893-1301","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-4823393","3","2","","Mamelles, Dakar, Sénégal"
"1765221896-1302","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-studio-ouakam-4823448","2","","","Ouakam, Dakar, Sénégal"
"1765221898-1303","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4823436","4","3","","Mamelles, Dakar, Sénégal"
"1765221901-1304","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4825249","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221903-1305","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-4825357","2","1","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221906-1306","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-4821845","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221909-1307","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4821858","4","","","Mamelles, Dakar, Sénégal"
"1765221911-1308","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-sacre-cur-3-vdn-4822853","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221914-1309","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-a-la-cite-biagui-yoff-4827162","4","3","","Yoff, Dakar, Sénégal"
"1765221916-1310","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-ocean-4827170","4","3","250","Yoff, Dakar, Sénégal"
"1765221919-1311","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-sacre-coeur-4827902","4","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221921-1312","https://sn.coinafrique.com/categorie/appartements?page=53","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-sicap-foire-4824057","4","3","","Sicap foire, Dakar, Sénégal"
"1765221927-1313","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-liberte-06-scat-urbam-4827394","3","2","102 m2","Sicap Liberté, Dakar, Sénégal"
"1765221929-1314","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-sud-foire-4828065","3","3","110 m2","Sicap Liberté, Dakar, Sénégal"
"1765221932-1315","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-penthouse-7-pieces-almadies-4832167","7","5","480","Almadies, Dakar, Sénégal"
"1765221934-1316","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4833953","4","3","","Mamelles, Dakar, Sénégal"
"1765221936-1317","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4833991","4","4","","Mamelles, Dakar, Sénégal"
"1765221939-1318","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4833975","4","3","","Mamelles, Dakar, Sénégal"
"1765221941-1319","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sacre-coeur-vdn-4834428","4","3","135","Sacré-Coeur, Dakar, Sénégal"
"1765221944-1320","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-studio-a-usage-professionnel-cite-cpi-vdn-4832375","2","1","","Dakar, Sénégal"
"1765221946-1321","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mermoz-sacre-coeur-4838051","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221949-1322","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-4834195","3","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221951-1323","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-4834234","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221954-1324","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-studios-sicap-foire-4838646","2","1","70","Sicap foire, Dakar, Sénégal"
"1765221956-1325","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-4838661","3","1","100","Mamelles, Dakar, Sénégal"
"1765221958-1326","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4839559","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221961-1327","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sacre-coeur-4840392","3","2","12","Sacré-Coeur, Dakar, Sénégal"
"1765221963-1328","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-avec-vue-sur-mer-virage-4838201","4","","","Ngor, Dakar, Sénégal"
"1765221966-1329","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-mermoz-sacre-coeur-4841602","5","5","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221969-1330","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-villa-duplex-aux-almadies-4838448","","","","Almadies, Dakar, Sénégal"
"1765221971-1331","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-4861774","4","2","","Ngor, Dakar, Sénégal"
"1765221973-1332","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-la-cite-keur-gorgui-4839816","3","2","","Dakar, Sénégal"
"1765221976-1333","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-point-e-4840390","3","3","110 m2","Point E, Dakar, Sénégal"
"1765221978-1334","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-04-pieces-mermoz-sacre-coeur-4840456","4","2","120","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765221981-1335","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouakam-4843462","4","3","","Ouakam, Dakar, Sénégal"
"1765221983-1336","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4843485","4","2","","Mamelles, Dakar, Sénégal"
"1765221986-1337","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-4858356","3","2","","Mamelles, Dakar, Sénégal"
"1765221988-1338","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4843573","4","2","","Mamelles, Dakar, Sénégal"
"1765221990-1339","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-zone-de-recasement-almadies-4883783","4","3","","Almadies, Dakar, Sénégal"
"1765221993-1340","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-foire-4858395","4","3","","Sicap foire, Dakar, Sénégal"
"1765221996-1341","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouakam-4843584","4","2","","Ouakam, Dakar, Sénégal"
"1765221999-1342","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ouakam-4858402","3","2","","Ouakam, Dakar, Sénégal"
"1765222001-1343","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ouest-foire-4858418","3","2","","Ouest Foire, Dakar, Sénégal"
"1765222004-1344","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/vente-appartement-3-pieces-yoff-virage-4873277","3","2","","Yoff, Dakar, Sénégal"
"1765222006-1345","https://sn.coinafrique.com/categorie/appartements?page=52","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-medina-4858515","3","2","","Medina, Dakar, Sénégal"
"1765222011-1346","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-biagui-4844415","4","3","135","Yoff, Dakar, Sénégal"
"1765222014-1347","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ouakam-4854949","3","3","","Ouakam, Dakar, Sénégal"
"1765222016-1348","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-4854940","2","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222018-1349","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4854991","4","3","","Mamelles, Dakar, Sénégal"
"1765222021-1350","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4855000","","","","Mamelles, Dakar, Sénégal"
"1765222024-1351","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-4845720","4","2","12","Sicap Liberté, Dakar, Sénégal"
"1765222026-1352","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dakar-plateau-4842616","5","5","340","Dakar Plateau, Dakar, Sénégal"
"1765222028-1353","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-avec-vue-sur-mer-f4-ngor-virage-4845480","4","","","Ngor, Dakar, Sénégal"
"1765222031-1354","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-avec-vue-sur-mer-virage-4845499","4","","","Ngor, Dakar, Sénégal"
"1765222033-1355","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4850722","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222036-1356","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-vdn-4849417","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222038-1357","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4852975","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222041-1358","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-foire-4849775","3","3","95 m2","Sicap foire, Dakar, Sénégal"
"1765222043-1359","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-mamelles-4851436","4","3","140 m2","Ouakam, Dakar, Sénégal"
"1765222045-1360","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4855307","4","2","12","Almadies, Dakar, Sénégal"
"1765222048-1361","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4856894","4","2","12","Almadies, Dakar, Sénégal"
"1765222050-1362","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-studio-sicap-liberte-01-4853305","2","1","79 m2","Sicap Liberté, Dakar, Sénégal"
"1765222053-1363","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4856910","3","3","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222055-1364","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-point-e-4854842","3","","","Point E, Dakar, Sénégal"
"1765222057-1365","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-4854882","4","","","Point E, Dakar, Sénégal"
"1765222060-1366","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-centre-ville-rebeuss-4855101","3","2","","Dakar, Sénégal"
"1765222062-1367","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-medina-4855114","3","2","","Dakar, Sénégal"
"1765222065-1368","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-studio-medina-centenaire-4855139","2","2","","Medina, Dakar, Sénégal"
"1765222067-1369","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-cite-biagui-4859108","5","3","138","Yoff, Dakar, Sénégal"
"1765222071-1370","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-cite-keur-gorgui-4855547","3","3","","Dakar, Sénégal"
"1765222073-1371","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-foire-cite-magistrat-4856943","3","3","110","Sicap foire, Dakar, Sénégal"
"1765222076-1372","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartements-02-pieces-sicap-foire-4856048","2","2","70","Sicap foire, Dakar, Sénégal"
"1765222078-1373","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-cite-biagui-4856887","3","5","1225","Yoff, Dakar, Sénégal"
"1765222080-1374","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-meuble-4-pieces-mermoz-4857016","4","4","240 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222083-1375","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-sicap-liberte-4862010","4","5","137","Sicap Liberté, Dakar, Sénégal"
"1765222085-1376","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/vente-appartement-cite-kalia-zone-de-captage-4858563","4","100","","Grand Yoff, Dakar, Sénégal"
"1765222088-1377","https://sn.coinafrique.com/categorie/appartements?page=51","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-keur-gorgui-4860151","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222093-1378","https://sn.coinafrique.com/categorie/appartements?page=50","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-yoff-virage-4861805","4","","","Yoff, Dakar, Sénégal"
"1765222096-1379","https://sn.coinafrique.com/categorie/appartements?page=50","https://sn.coinafrique.com/annonce/appartements/location-appartement-04pieces-mermoz-sacre-coeur-4861283","4","5","230","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765222099-1380","https://sn.coinafrique.com/categorie/appartements?page=50","https://sn.coinafrique.com/annonce/appartements/vente-studio-fann-residence-4862131","1","","","Fann, Dakar, Sénégal"
